While	IN	O
code	SYM	O
-	:	O
signing	VBG	O
certificates	NNS	O
can	MD	O
offer	VB	O
more	JJR	O
security	NN	O
,	,	O
they	PRP	O
can	MD	O
also	RB	O
live	VB	O
an	DT	O
unintended	JJ	O
secret	JJ	O
life	NN	O
providing	VBG	O
cover	NN	O
for	IN	O
attack	NN	O
groups	NNS	O
,	,	O
such	JJ	O
as	IN	O
the	DT	O
Suckfly	NNP	ACTOR
APT	NNP	ACTOR
group	NN	ACTOR
.	.	O
In	IN	O
late	JJ	O
2015	CD	O
,	,	O
Symantec	NNP	O
identified	VBD	O
suspicious	JJ	O
activity	NN	O
involving	VBG	O
a	DT	O
hacking	NN	TOOL
tool	NN	TOOL
used	VBN	O
in	IN	O
a	DT	O
malicious	JJ	O
manner	NN	O
against	IN	O
one	CD	O
of	IN	O
our	PRP$	O
customers	NNS	O
.	.	O
Normally	RB	O
,	,	O
this	DT	O
is	VBZ	O
considered	VBN	O
a	DT	O
low	JJ	O
-	:	O
level	NN	O
alert	JJ	O
easily	RB	O
defeated	VBN	O
by	IN	O
security	NN	O
software	NN	O
.	.	O
In	IN	O
this	DT	O
case	NN	O
,	,	O
however	RB	O
,	,	O
the	DT	O
hacktool	NN	TOOL
had	VBD	O
an	DT	O
unusual	JJ	O
characteristic	NN	O
not	RB	O
typically	RB	O
seen	VBN	O
with	IN	O
this	DT	O
type	NN	O
of	IN	O
file	NN	O
?	.	O
it	PRP	O
was	VBD	O
signed	VBN	O
with	IN	O
a	DT	O
valid	JJ	O
code	NN	O
-	:	O
signing	NN	O
certificate	NN	O
.	.	O
Many	JJ	O
hacktools	NNS	O
are	VBP	O
made	VBN	O
for	IN	O
less	JJR	O
than	IN	O
ethical	JJ	O
purposes	NNS	O
and	CC	O
are	VBP	O
freely	RB	O
available	JJ	O
,	,	O
so	IN	O
this	DT	O
was	VBD	O
an	DT	O
initial	JJ	O
red	JJ	O
flag	NN	O
,	,	O
which	WDT	O
led	VBD	O
us	PRP	O
to	TO	O
investigate	VB	O
further	RBR	O
.	.	O
As	IN	O
our	PRP$	O
investigation	NN	O
continued	VBD	O
,	,	O
we	PRP	O
soon	RB	O
realized	VBD	O
this	DT	O
was	VBD	O
much	RB	O
larger	JJR	O
than	IN	O
a	DT	O
few	JJ	O
hacktools	NNS	O
.	.	O
We	PRP	O
discovered	VBD	O
Suckfly	NNP	O
,	,	O
an	DT	O
advanced	JJ	O
threat	NN	O
group	NN	O
,	,	O
conducting	VBG	O
targeted	JJ	O
attacks	NNS	O
using	VBG	O
multiple	JJ	O
stolen	VBN	O
certificates	NNS	O
,	,	O
as	RB	O
well	RB	O
as	IN	O
hacktools	NNS	O
and	CC	O
custom	NN	O
malware	NN	O
.	.	O
The	DT	O
group	NN	O
had	VBD	O
obtained	VBN	O
the	DT	O
certificates	NNS	O
through	IN	O
pre	NN	O
-	:	O
attack	NN	O
operations	NNS	O
before	IN	O
commencing	VBG	O
targeted	JJ	O
attacks	NNS	O
against	IN	O
a	DT	O
number	NN	O
of	IN	O
government	NN	INDUSTRY
and	CC	O
commercial	JJ	INDUSTRY
organizations	NNS	INDUSTRY
spread	VBP	O
across	IN	O
multiple	JJ	O
continents	NNS	O
over	IN	O
a	DT	O
two	CD	O
-	:	O
year	NN	O
period	NN	O
.	.	O
The	DT	O
first	JJ	O
signed	JJ	O
hacktool	NN	TOOL
we	PRP	O
identified	VBD	O
in	IN	O
late	JJ	O
2015	CD	O
was	VBD	O
a	DT	O
digitally	RB	O
signed	VBN	O
brute	SYM	O
-	:	O
force	NN	O
server	NN	O
message	NN	O
block	NN	O
(	(	O
SMB	NNP	O
)	)	O
scanner	NN	O
