On	IN	O
Feb.	NNP	O
2	CD	O
,	,	O
2018	CD	O
,	,	O
we	PRP	O
published	VBD	O
a	DT	O
blog	NN	O
detailing	VBG	O
the	DT	O
use	NN	O
of	IN	O
an	DT	O
Adobe	NNP	APP
Flash	NNP	APP
zero	CD	O
-	:	O
day	NN	O
vulnerability	NN	O
(	(	O
CVE-2018	NNP	O
-	:	O
4878	CD	O
)	)	O
by	IN	O
a	DT	O
suspected	JJ	O
North	JJ	O
Korean	JJ	O
cyber	NN	EFFECT
espionage	NN	EFFECT
group	NN	O
that	IN	O
we	PRP	O
now	RB	O
track	VBP	O
as	IN	O
APT37	NNP	ACTOR
(	(	O
Reaper	NNP	ACTOR
)	)	O
.	.	O
Our	PRP$	O
analysis	NN	O
of	IN	O
APT37	NNP	ACTOR
's	POS	O
recent	JJ	O
activity	NN	O
reveals	NNS	O
that	IN	O
the	DT	O
group	NN	O
's	POS	O
operations	NNS	O
are	VBP	O
expanding	VBG	O
in	IN	O
scope	NN	O
and	CC	O
sophistication	NN	O
,	,	O
with	IN	O
a	DT	O
toolset	NN	O
that	WDT	O
includes	VBZ	O
access	NN	O
to	TO	O
zero	CD	O
-	:	O
day	NN	O
vulnerabilities	NNS	O
and	CC	O
wiper	JJR	TECHNIQUE
malware	NN	TECHNIQUE
.	.	O
We	PRP	O
assess	VBP	O
with	IN	O
high	JJ	O
confidence	NN	O
that	IN	O
this	DT	O
activity	NN	O
is	VBZ	O
carried	VBN	O
out	RP	O
on	IN	O
behalf	NN	O
of	IN	O
the	DT	O
North	JJ	O
Korean	JJ	O
government	NN	O
given	VBN	O
malware	NN	O
development	NN	O
artifacts	NNS	O
and	CC	O
targeting	VBG	O
that	IN	O
aligns	NNS	O
with	IN	O
North	JJ	O
Korean	JJ	O
state	NN	O
interests	NNS	O
.	.	O
FireEye	NNP	O
iSIGHT	NN	O
Intelligence	NNP	O
believes	VBZ	O
that	IN	O
APT37	NNP	ACTOR
is	VBZ	O
aligned	VBN	O
with	IN	O
the	DT	O
activity	NN	O
publicly	RB	O
reported	VBD	O
as	IN	O
Scarcruft	NNP	ACTOR
and	CC	O
Group123	NNP	ACTOR
.	.	O
Read	VB	O
our	PRP$	O
report	NN	O
,	,	O
APT37	NNP	ACTOR
(	(	O
Reaper	NNP	ACTOR
)	)	O
:	:	O
The	DT	O
Overlooked	NNP	O
North	NNP	O
Korean	NNP	O
Actor	NNP	O
,	,	O
to	TO	O
learn	VB	O
more	JJR	O
about	IN	O
our	PRP$	O
assessment	NN	O
that	IN	O
this	DT	O
threat	NN	O
actor	NN	O
is	VBZ	O
working	VBG	O
on	IN	O
behalf	NN	O
of	IN	O
the	DT	O
North	JJ	O
Korean	JJ	O
government	NN	O
,	,	O
as	RB	O
well	RB	O
as	IN	O
various	JJ	O
other	JJ	O
details	NNS	O
about	IN	O
their	PRP$	O
operations	NNS	O
:	:	O
Targeting	NN	O
:	:	O
Primarily	RB	O
South	NNP	LOCATION
Korea	NNP	LOCATION
-	:	O
though	NN	O
also	RB	O
Japan	NNP	LOCATION
,	,	O
Vietnam	NNP	LOCATION
and	CC	O
the	DT	O
Middle	NNP	LOCATION
East	NNP	LOCATION
-	:	O
in	IN	O
various	JJ	O
industry	NN	O
verticals	NNS	O
,	,	O
including	VBG	O
chemicals	NNS	INDUSTRY
,	,	O
electronics	NNS	INDUSTRY
,	,	O
manufacturing	NN	INDUSTRY
,	,	O
aerospace	NN	INDUSTRY
,	,	O
automotive	JJ	INDUSTRY
,	,	O
and	CC	O
healthcare	NN	INDUSTRY
.	.	O
Initial	JJ	O
Infection	NNP	O
Tactics	NNS	O
:	:	O
Social	NNP	TECHNIQUE
engineering	NN	TECHNIQUE
tactics	NNS	O
tailored	VBD	O
specifically	RB	O
to	TO	O
desired	VBN	O
targets	NNS	O
,	,	O
strategic	JJ	O
web	NN	O
compromises	NNS	O
typical	JJ	O
of	IN	O
targeted	JJ	O
cyber	NN	EFFECT
espionage	NN	EFFECT
operations	NNS	O
,	,	O
and	CC	O
the	DT	O
use	NN	O
of	IN	O
torrent	NN	O
file	NN	O
-	:	O
sharing	NN	O
sites	NNS	O
to	TO	O
distribute	VB	O
malware	NN	O
more	RBR	O
indiscriminately	RB	O
.	.	O
Exploited	JJ	O
Vulnerabilities	NNS	O
:	:	O
Frequent	JJ	O
exploitation	NN	O
of	IN	O
vulnerabilities	NNS	O
in	IN	O
Hangul	NNP	APP
Word	NNP	APP
Processor	NNP	APP
(	(	O
HWP	NNP	O
)	)	O
,	,	O
as	RB	O
well	RB	O
as	IN	O
Adobe	NNP	APP
Flash	NNP	APP
.	.	O
The	DT	O
group	NN	O
has	VBZ	O
demonstrated	VBN	O
access	NN	O
to	TO	O
zero	CD	O
-	:	O
day	NN	O
vulnerabilities	NNS	O
(	(	O
CVE-2018	NNP	O
-	:	O
0802	CD	O
)	)	O
,	,	O
and	CC	O
the	DT	O
ability	NN	O
to	TO	O
incorporate	VB	O
them	PRP	O
into	IN	O
operations	NNS	O
.	.	O
Command	NNP	TECHNIQUE
and	CC	TECHNIQUE
Control	NNP	TECHNIQUE
Infrastructure	NNP	O
:	:	O
Compromised	JJ	O
servers	NNS	O
,	,	O
messaging	VBG	O
platforms	NNS	O
,	,	O
and	CC	O
cloud	JJ	O
service	NN	O
providers	NNS	O
to	TO	O
avoid	VB	O
detection	NN	O
.	.	O
The	DT	O
group	NN	O
has	VBZ	O
shown	VBN	O
increasing	VBG	O
sophistication	NN	O
by	IN	O
improving	VBG	O
their	PRP$	O
operational	JJ	O
security	NN	O
over	IN	O
time	NN	O
.	.	O
Malware	NN	O
:	:	O
A	DT	O
diverse	JJ	O
suite	NN	O
of	IN	O
malware	NN	O
for	IN	O
initial	JJ	O
intrusion	NN	EFFECT
and	CC	O
exfiltration	NN	EFFECT
.	.	O
Along	IN	O
with	IN	O
custom	NN	O
malware	NN	O
used	VBN	O
for	IN	O
espionage	NN	EFFECT
purposes	NNS	O
,	,	O
APT37	NNP	ACTOR
also	RB	O
has	VBZ	O
access	NN	O
to	TO	O
destructive	VB	O
malware	NN	O
.	.	O
